Expansion[0.0064]  Contingency[0.0402]  Comparison[0.9263]  Temporal[0.0270]  Comparison
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0035]  Contingency[0.9872]  Comparison[0.0027]  Temporal[0.0067]  Contingency
Expansion[0.0099]  Contingency[0.0126]  Comparison[0.9454]  Temporal[0.0321]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.8371]  Contingency[0.0019]  Comparison[0.0144]  Temporal[0.1465]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.8967]  Contingency[0.0054]  Comparison[0.0404]  Temporal[0.0576]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.2888]  Contingency[0.1178]  Comparison[0.0073]  Temporal[0.5861]  Temporal
Expansion[0.0000]  Contingency[0.0228]  Comparison[0.0002]  Temporal[0.9770]  Temporal
Expansion[0.9845]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.0003]  Contingency[0.2550]  Comparison[0.0160]  Temporal[0.7287]  Temporal
Expansion[0.9845]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0655]  Contingency[0.8950]  Comparison[0.0216]  Temporal[0.0180]  Contingency
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9845]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0000]  Contingency[0.0228]  Comparison[0.0002]  Temporal[0.9770]  Temporal
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.8371]  Contingency[0.0019]  Comparison[0.0144]  Temporal[0.1465]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.9898]  Contingency[0.0009]  Comparison[0.0074]  Temporal[0.0019]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.2888]  Contingency[0.1178]  Comparison[0.0073]  Temporal[0.5861]  Temporal
Expansion[0.0087]  Contingency[0.9860]  Comparison[0.0029]  Temporal[0.0024]  Contingency
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.9835]  Contingency[0.0025]  Comparison[0.0077]  Temporal[0.0064]  Expansion
Expansion[0.9447]  Contingency[0.0510]  Comparison[0.0022]  Temporal[0.0020]  Expansion
Expansion[0.0002]  Contingency[0.3073]  Comparison[0.0373]  Temporal[0.6552]  Temporal
Expansion[0.0019]  Contingency[0.0026]  Comparison[0.0003]  Temporal[0.9952]  Temporal
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0026]  Contingency[0.0584]  Comparison[0.0004]  Temporal[0.9386]  Temporal
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9906]  Contingency[0.0039]  Comparison[0.0041]  Temporal[0.0014]  Expansion
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0369]  Contingency[0.0033]  Comparison[0.0004]  Temporal[0.9595]  Temporal
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
