0[0.9993]  1[0.0007]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9985]  1[0.0015]  0
0[0.9996]  1[0.0004]  0
0[0.9995]  1[0.0005]  0
0[0.9995]  1[0.0005]  0
0[0.0119]  1[0.9881]  1
0[0.0019]  1[0.9981]  1
0[0.9996]  1[0.0004]  0
0[0.9994]  1[0.0006]  0
0[0.9918]  1[0.0082]  0
0[0.9272]  1[0.0728]  0
0[0.9999]  1[0.0001]  0
0[0.5261]  1[0.4739]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9420]  1[0.0580]  0
0[0.0338]  1[0.9662]  1
0[1.0000]  1[0.0000]  0
0[0.9986]  1[0.0014]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9966]  1[0.0034]  0
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9998]  1[0.0002]  0
0[0.9999]  1[0.0001]  0
0[0.9989]  1[0.0011]  0
0[0.0146]  1[0.9854]  1
0[0.1031]  1[0.8969]  1
0[0.9995]  1[0.0005]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9971]  1[0.0029]  0
0[0.9996]  1[0.0004]  0
0[0.9974]  1[0.0026]  0
0[1.0000]  1[0.0000]  0
0[0.0362]  1[0.9638]  1
0[0.0231]  1[0.9769]  1
0[0.0262]  1[0.9738]  1
0[0.6527]  1[0.3473]  0
0[0.8846]  1[0.1154]  0
0[0.9818]  1[0.0182]  0
0[0.6553]  1[0.3447]  0
0[0.9954]  1[0.0046]  0
0[0.9622]  1[0.0378]  0
0[0.9955]  1[0.0045]  0
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.9490]  1[0.0510]  0
0[0.9871]  1[0.0129]  0
0[0.9632]  1[0.0368]  0
0[0.9989]  1[0.0011]  0
0[0.9982]  1[0.0018]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[0.9982]  1[0.0018]  0
0[0.3246]  1[0.6754]  1
0[0.9999]  1[0.0001]  0
0[0.4537]  1[0.5463]  1
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[0.9979]  1[0.0021]  0
0[0.9935]  1[0.0065]  0
0[0.9997]  1[0.0003]  0
0[0.9999]  1[0.0001]  0
0[0.9973]  1[0.0027]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9734]  1[0.0266]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0050]  1[0.9950]  1
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.9818]  1[0.0182]  0
0[0.9995]  1[0.0005]  0
0[0.9877]  1[0.0123]  0
0[0.0066]  1[0.9934]  1
0[0.9998]  1[0.0002]  0
0[0.9998]  1[0.0002]  0
0[0.9987]  1[0.0013]  0
0[0.9729]  1[0.0271]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.0543]  1[0.9457]  1
0[0.9999]  1[0.0001]  0
0[0.0091]  1[0.9909]  1
0[0.3994]  1[0.6006]  1
0[0.9996]  1[0.0004]  0
0[0.9902]  1[0.0098]  0
0[0.2516]  1[0.7484]  1
0[0.9886]  1[0.0114]  0
0[1.0000]  1[0.0000]  0
0[0.0149]  1[0.9851]  1
0[0.9994]  1[0.0006]  0
0[0.0904]  1[0.9096]  1
0[0.9995]  1[0.0005]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9914]  1[0.0086]  0
0[1.0000]  1[0.0000]  0
0[0.9992]  1[0.0008]  0
0[1.0000]  1[0.0000]  0
0[0.3282]  1[0.6718]  1
0[0.9974]  1[0.0026]  0
0[1.0000]  1[0.0000]  0
0[0.0543]  1[0.9457]  1
0[0.9670]  1[0.0330]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9989]  1[0.0011]  0
0[0.0327]  1[0.9673]  1
0[0.9998]  1[0.0002]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.1079]  1[0.8921]  1
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[0.9995]  1[0.0005]  0
0[0.9995]  1[0.0005]  0
0[0.0050]  1[0.9950]  1
0[0.9872]  1[0.0128]  0
0[1.0000]  1[0.0000]  0
0[0.9436]  1[0.0564]  0
0[0.9950]  1[0.0050]  0
0[0.9999]  1[0.0001]  0
0[0.0161]  1[0.9839]  1
0[0.9989]  1[0.0011]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9859]  1[0.0141]  0
0[0.9999]  1[0.0001]  0
0[0.9984]  1[0.0016]  0
0[0.9984]  1[0.0016]  0
0[0.9999]  1[0.0001]  0
0[0.9973]  1[0.0027]  0
0[0.9999]  1[0.0001]  0
0[0.9967]  1[0.0033]  0
0[0.9617]  1[0.0383]  0
0[0.8820]  1[0.1180]  0
0[0.6968]  1[0.3032]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.9797]  1[0.0203]  0
0[0.9870]  1[0.0130]  0
0[0.9995]  1[0.0005]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
