PS[0.8281]  SS[0.1719]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9958]  SS[0.0042]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.9720]  SS[0.0280]  PS
PS[0.9949]  SS[0.0051]  PS
PS[0.0123]  SS[0.9877]  SS
PS[0.9720]  SS[0.0280]  PS
PS[0.0123]  SS[0.9877]  SS
PS[0.9720]  SS[0.0280]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9524]  SS[0.0476]  PS
PS[0.0037]  SS[0.9963]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.9887]  SS[0.0113]  PS
PS[0.0015]  SS[0.9985]  SS
PS[0.9709]  SS[0.0291]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.9524]  SS[0.0476]  PS
PS[0.0106]  SS[0.9894]  SS
PS[0.0093]  SS[0.9907]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.0106]  SS[0.9894]  SS
PS[0.9967]  SS[0.0033]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9707]  SS[0.0293]  PS
PS[0.9524]  SS[0.0476]  PS
PS[0.0034]  SS[0.9966]  SS
PS[0.6422]  SS[0.3578]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.0123]  SS[0.9877]  SS
PS[0.0106]  SS[0.9894]  SS
PS[0.9524]  SS[0.0476]  PS
PS[0.0069]  SS[0.9931]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.9887]  SS[0.0113]  PS
PS[0.0111]  SS[0.9889]  SS
PS[0.9707]  SS[0.0293]  PS
PS[0.9214]  SS[0.0786]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.9524]  SS[0.0476]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.9997]  SS[0.0003]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0187]  SS[0.9813]  SS
PS[0.9874]  SS[0.0126]  PS
PS[0.9990]  SS[0.0010]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0043]  SS[0.9957]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9987]  SS[0.0013]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9982]  SS[0.0018]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.9982]  SS[0.0018]  PS
PS[0.9682]  SS[0.0318]  PS
PS[0.0187]  SS[0.9813]  SS
PS[0.0002]  SS[0.9998]  SS
PS[0.1024]  SS[0.8976]  SS
PS[0.0235]  SS[0.9765]  SS
PS[0.0106]  SS[0.9894]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9976]  SS[0.0024]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.9709]  SS[0.0291]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.6101]  SS[0.3899]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0072]  SS[0.9928]  SS
PS[0.9942]  SS[0.0058]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0123]  SS[0.9877]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0069]  SS[0.9931]  SS
PS[0.0182]  SS[0.9818]  SS
PS[0.9833]  SS[0.0167]  PS
PS[0.0123]  SS[0.9877]  SS
PS[0.9833]  SS[0.0167]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0187]  SS[0.9813]  SS
PS[0.0059]  SS[0.9941]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.0187]  SS[0.9813]  SS
PS[0.1399]  SS[0.8601]  SS
PS[0.9833]  SS[0.0167]  PS
PS[0.9833]  SS[0.0167]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9833]  SS[0.0167]  PS
